"Variable1";"Variable2";"Variable3";"Variable4"
15;12;4;1,12
0;0;14;0,23
11;3;3;0,12
0;1;12;1,94
0;1;10;0,66
2;6;11;0,54
6;10;6;0,07
14;2;2;0,75
0;0;2;1,41
3;6;3;2,11
0;11;1;0,83
1;5;10;0,11
10;0;8;0,74
4;2;1;0,65
1;1;2;0,13
1;1;3;1,03
0;5;3;2,35
3;17;6;0,27
2;14;10;0,02
9;8;4;0,02
7;2;21;0,22
15;0;4;0,21
1;0;7;0,73
0;8;13;0,08
0;1;0;1,15
0;0;0;0,34
0;9;4;1,66
10;14;1;0,92
3;3;3;1,69
0;24;3;0,06
0;1;1;0,4
5;4;16;0,1
0;0;0;0,82
12;0;1;1,49
7;8;18;0,74
7;10;6;0,44
19;3;26;0,55
1;13;4;0,74
1;1;0;0,49
5;5;1;0,71
1;1;0;0,21
3;1;2;1,51
12;9;1;0,42
7;1;0;0,67
1;5;5;2,19
7;5;0;0,93
3;3;2;0,35
1;1;11;1,28
6;4;2;3,01
1;6;21;0,47
4;2;2;0,86
15;2;2;0,03
15;13;2;0,38
3;1;0;0,28
2;1;0;1,24
8;17;0;2,26
3;7;3;1,11
2;7;2;0,48
0;1;8;0,48
7;7;0;0,36
5;51;0;1,06
11;0;14;0,2
5;0;12;2,03
5;1;23;0,32
1;4;2;0,51
3;4;1;0,32
2;1;0;0,78
5;2;13;1,48
1;1;1;0,67
2;0;0;0,06
2;1;6;0,51
2;3;15;0,64
3;1;7;0,55
8;4;7;0,03
3;10;3;1,65
0;11;6;0,8
4;1;7;1,18
11;0;7;0,61
3;1;7;0,97
6;2;1;1,79
11;10;1;0,81
3;1;1;0,11
0;27;10;1,07
2;10;2;0,85
0;15;4;1,77
36;0;2;0,98
1;4;1;1,12
0;12;8;0,79
4;2;11;1,01
8;11;0;0,43
9;0;1;0,24
23;17;2;2,58
0;4;6;0,41
5;11;1;0,46
9;14;4;2,08
4;3;0;0,41
6;8;0;1,2
4;5;24;0,56
12;27;6;1,77
6;15;4;1,26
