"y","x"
20.4,20.23
218.92,66.01
189.06,64.83
197.56,66.1
304.33,87.48
281.04,67.63
164.95,10.85
104.12,30.93
340.14,69.95
160.96,56.28
300.1,72.42
354.59,59.05
154.6,35.45
295.85,93.11
158.55,36.31
394.92,85.36
100.35,35.76
220.43,34.01
196.89,26.81
159.52,30.9
165.83,38.5
138.95,37.24
104.62,24.31
123.21,13.6
242.59,29.69
291.19,82.95
152.4,57.31
290.78,92.32
317.38,84.82
76.51,14.12
194.26,51.05
143.1,33.87
93.65,37.42
208.28,55.66
171.41,26.3
319.99,78.37
161.84,28.11
129.74,33.29
338.3,99.29
238.26,82.66
226.74,59.8
267.29,68.18
249.49,38.06
297.97,65.96
144.26,39.68
233.32,55.18
206.09,70.94
254.86,53.65
194.51,31.95
392.73,78.89
120.65,16.64
139.88,37.87
276.96,74.55
191.1,55.41
80.01,23.77
224.41,55.35
168.56,54.46
291.23,77.61
144.9,25.72
306.46,86.36
303.71,87.84
58.85,13.77
110.15,38.55
126.18,11.24
145.66,31.51
312.31,73.58
100.97,37.73
225.76,55.77
127.6,14.65
231.12,60.81
103.23,20.93
281.97,90.36
186.86,11.32
328.97,80.48
195.5,18.1
224.18,56.73
152.18,44.58
23.25,16.3
134.77,38.86
271.81,70.16
380.81,93.38
220.05,52.47
59.91,22.84
260.39,58.98
50.46,27.66
304.32,90.87
169.36,45.05
66.52,37.98
169.21,24.4
290.83,90.66
108.22,24.98
392.87,91.04
148.03,22.07
110.11,21.85
134.12,19.48
238.09,56.04
244.2,37.02
101.01,12.4
188.92,37.87
297.75,76.79
