# This is a computer generated data set.
# The numbers do not have any meaning.
-0.701 ,-2.397 ,2.47 ,-3.076 
4.671 ,-0.701 ,4.293 ,-0.107 
3.698 ,-2.506 ,6.962 ,2.649 
4.205 ,7.218 ,1.632 ,-1.219 
1.022 ,1.075 ,-2.303 ,3.502 
2.52 ,-5.074 ,3.482 ,2.259 
5.47 ,-1.087 ,5.488 ,3.014 
-1.727 ,3.632 ,1.994 ,7.553 
-1.389 ,-0.822 ,6.404 ,1.364 
9.218 ,-0.873 ,1.934 ,3.952 
-5.38 ,0.558 ,6.413 ,4.994 
0.281 ,0.675 ,-2.709 ,0.364 
8.195 ,2.422 ,-1.246 ,-2.058 
-0.123 ,-0.94 ,6.378 ,7.468 
0.386 ,-6.919 ,8.227 ,0.822 
-0.524 ,0.69 ,-1.984 ,4.189 
3.988 ,3.904 ,4.274 ,3.395 
3.696 ,4.757 ,0.232 ,5.019 
1.52 ,2.75 ,1.681 ,4.346 
-2.812 ,-5.324 ,8.773 ,-1.125 
-0.616 ,-0.771 ,8.272 ,9.045 
5.972 ,-4.558 ,-1.081 ,-4.501 
6.772 ,-8.08 ,1.393 ,0.739 
0.233 ,-3.954 ,2.204 ,2.66 
2.391 ,-3.503 ,-2.098 ,4.236 
-0.817 ,-0.043 ,-2.316 ,3.687 
3.001 ,2.013 ,1.19 ,-0.866 
6.445 ,-4.455 ,-0.501 ,2.179 
-2.123 ,1.712 ,-1.067 ,2.658 
-3.137 ,-4.21 ,-0.798 ,2.01 
3.678 ,2.395 ,-2.355 ,6.393 
5.428 ,6.122 ,2.099 ,5.366 
3.163 ,4.178 ,1.763 ,1.56 
3.717 ,6.248 ,0.453 ,1.607 
-1.57 ,2.239 ,-0.569 ,-3.638 
5.54 ,0.563 ,3.511 ,1.828 
-2.619 ,-1.058 ,-3.044 ,-1.059 
1.891 ,-3.024 ,4.329 ,1.154 
2.677 ,4.829 ,3.802 ,2.614 
0.814 ,4.034 ,-0.307 ,-0.599 
6.06 ,8.48 ,-5.814 ,-5.527 
3.389 ,0.99 ,1.584 ,3.511 
5.713 ,3.624 ,-4.842 ,0.568 
4.855 ,-6.527 ,3.517 ,-2.034 
6.475 ,-1.77 ,3.516 ,-3.125 
3.363 ,2.613 ,-2.119 ,8.225 
3.655 ,-1.261 ,2.006 ,3.749 
4.478 ,-0.307 ,-0.483 ,2.378 
-0.264 ,-1.236 ,2.248 ,-2.918 
1.625 ,2.731 ,-0.912 ,6.346 
# This is the last line of the file.
