"Land";"RB";"Kreis";"Gem";"Name";"Flaeche";"Einwohner";"maennlich";"weiblich";"plz"
1;0;56;33;"Seester";11,57;972;469;503;25370
1;0;56;34;"Langeln";10,28;514;271;243;25485
1;0;56;35;"Lutzhorn";21,72;816;421;395;25355
1;0;56;36;"Moorrege";10,76;4049;2010;2039;25436
1;0;56;37;"Neuendeich";8,54;514;242;272;25436
1;0;56;38;"Osterhorn";6,38;435;216;219;25364
1;0;56;39;"Pinneberg, Stadt";21,54;41972;20372;21600;25421
1;0;56;40;"Prisdorf";5,23;2184;1070;1114;25497
1;0;56;41;"Quickborn, Stadt";43,17;20208;9788;10420;25451
1;0;56;42;"Raa-Besenbek";12,99;509;251;258;25335
1;0;56;43;"Rellingen";13,18;13717;6668;7049;25462
1;0;56;44;"Schenefeld, Stadt";9,99;17970;8799;9171;22869
1;0;56;45;"Seestermühe";23,35;938;452;486;25371
1;0;56;46;"Seeth-Ekholt";6,89;846;419;427;25337
1;0;56;47;"Tangstedt";12,52;2132;1059;1073;25499
1;0;56;48;"Tornesch, Stadt";20,61;12970;6367;6603;25437
1;0;56;49;"Uetersen, Stadt";11,43;17865;8762;9103;25436
1;0;56;50;"Wedel, Stadt";33,82;32048;15517;16531;22880
1;0;56;51;"Westerhorn";9,37;1315;645;670;25364
1;0;57;1;"Ascheberg (Holstein)";20,93;3215;1555;1660;24326
1;0;57;2;"Barmissen";5,15;185;80;105;24245
1;0;57;3;"Barsbek";8,73;657;337;320;24217
1;0;57;4;"Behrensdorf (Ostsee)";20,85;623;311;312;24321
1;0;57;5;"Belau";14,89;331;161;170;24601
1;0;57;6;"Bendfeld";4,41;253;122;131;24217
1;0;57;7;"Blekendorf";38,34;1811;891;920;24327
1;0;57;8;"Bönebüttel";20,4;2017;973;1044;24620
1;0;57;9;"Bösdorf";21,1;1597;797;800;24306
1;0;57;10;"Boksee";5,52;487;235;252;24220
1;0;57;11;"Bothkamp";13,83;302;149;153;24250
1;0;57;12;"Brodersdorf";3,63;440;219;221;24235
1;0;57;13;"Dannau";9,12;697;329;368;24329
1;0;57;15;"Dersau";7,51;904;432;472;24326
1;0;57;16;"Dobersdorf";21,91;1195;612;583;24232
1;0;57;17;"Dörnick";4,3;266;123;143;24326
1;0;57;18;"Fahren";3,6;144;70;74;24253
1;0;57;20;"Fiefbergen";5,8;611;300;311;24217
1;0;57;21;"Giekau";32,8;1104;556;548;24321
1;0;57;22;"Grebin";24,14;989;493;496;24329
1;0;57;23;"Großbarkau";2,93;193;97;96;24245
1;0;57;24;"Großharrie";13,16;543;273;270;24625
1;0;57;25;"Heikendorf";14,72;8278;3905;4373;24226
1;0;57;26;"Helmstorf";12,73;330;165;165;24321
